iter	Passed	Remaining
581	611508	439193
582	612429	438050
583	613622	437101
584	614745	436101
585	615903	435126
586	617181	434234
587	618275	433213
588	619370	432192
589	620437	431151
590	621502	430109
591	622585	429078
592	623630	428022
593	624593	426910
594	625512	425768
595	626541	424702
596	627664	423699
597	628723	422653
598	629832	421640
599	631131	420754
600	632238	419738
601	633455	418796
602	634447	417704
603	635522	416667
604	636568	415610
605	637717	414621
606	638585	413449
607	639638	412398
608	640502	411225
609	641486	410130
610	642419	409003
611	643433	407928
612	644535	406909
613	645682	405917
614	646859	404944
615	648047	403977
616	649132	402946
617	650127	401858
618	651115	400767
619	652136	399696
620	653252	398684
621	654323	397643
622	655367	396586
623	656535	395604
624	657705	394623
625	658641	393501
626	659849	392542
627	660934	391508
628	662050	390493
629	663366	389595
630	664402	388533
631	665408	387452
632	666398	386363
633	667464	385318
634	668624	384327
635	669705	383290
636	670773	382246
637	671731	381139
638	672616	379991
639	673595	378897
640	674483	377753
641	675452	376654
642	676725	375724
643	677841	374707
644	679097	373766
645	680191	372736
646	681215	371667
647	682213	370585
648	683417	369614
649	684439	368544
650	685471	367480
651	686743	366544
652	687824	365505
653	688938	364484
654	689908	363386
655	691033	362371
656	692117	361333
657	693159	360274
658	694385	359310
659	695624	358352
660	696768	357344
661	697860	356309
662	698864	355229
663	699985	354209
664	701144	353208
665	702293	352201
666	703154	351050
667	704261	350021
668	705416	349017
669	706742	348096
670	708023	347153
671	709113	346115
672	710219	345084
673	711460	344118
674	712857	343227
675	714050	342237
676	714926	341094
677	715763	339934
678	716809	338874
679	717965	337866
680	719018	336809
681	719928	335685
682	721095	334681
683	721968	333541
684	723082	332512
685	723981	331385
686	725340	330467
687	726519	329468
688	727858	328539
689	728816	327439
690	729886	326389
691	731100	325403
692	732113	324327
693	733108	323243
694	734239	322220
695	735482	321245
696	736449	320149
697	737375	319036
698	738488	318004
699	739424	316896
700	740630	315903
701	741939	314954
702	743092	313937
703	744325	312955
704	745695	312028
705	746804	310992
706	748012	309996
707	749022	308919
708	750204	307911
709	751316	306875
710	752271	305775
711	753345	304723
712	754230	303596
713	755307	302546
714	756476	301532
715	757589	300496
716	758829	299509
717	760098	298534
718	761380	297563
719	762448	296507
720	763603	295485
721	764624	294412
722	765831	293409
723	766982	292385
724	767988	291306
725	768947	290209
726	770042	289163
727	770957	288050
728	772051	287003
729	773051	285923
730	774399	284970
731	775581	283956
732	776795	282952
733	777885	281904
734	779148	280917
735	780210	279858
736	781133	278748
737	782274	277718
738	783464	276703
739	784417	275606
740	785619	274595
741	786606	273510
742	787747	272478
743	788923	271457
744	790112	270441
745	791177	269382
746	792532	268421
747	793458	267314
748	794519	266254
749	795658	265219
750	796682	264146
751	797683	263065
752	798802	262024
753	799790	260939
754	801087	259955
755	802134	258889
756	803334	257873
757	804394	256812
758	805457	255751
759	807005	254843
760	808328	253864
761	809463	252824
762	810583	251780
763	811579	250697
764	812681	249647
765	813819	248607
766	814932	247561
767	816110	246533
768	817131	245458
769	818401	244457
770	819490	243402
771	820464	242313
772	821744	241314
773	822970	240298
774	824157	239271
775	825232	238211
776	826323	237155
777	827195	236037
778	828293	234984
779	829591	233987
780	830654	232923
781	831811	231886
782	832957	230845
783	834121	229808
784	835191	228746
785	836292	227692
786	837342	226625
787	838504	225587
788	839703	224559
789	840958	223546
790	842144	222513
791	843123	221426
792	844243	220376
793	845185	219279
794	846209	218204
795	847321	217152
796	848387	216088
797	849588	215058
798	850736	214015
799	851774	212943
800	852997	211918
801	854227	210893
802	855425	209861
803	856673	208840
804	857959	207828
805	859151	206793
806	860337	205756
807	861386	204685
808	862462	203622
809	863413	202529
810	864410	201447
811	865533	200394
812	866569	199321
813	867696	198269
814	869029	197264
815	870211	196224
816	871338	195171
817	872465	194118
818	873420	193027
819	874493	191961
820	875605	190905
821	876669	189838
822	877715	188767
823	878719	187687
824	879899	186645
825	880872	185559
826	881742	184451
827	882929	183410
828	884212	182388
829	885397	181346
830	886501	180287
831	887813	179270
832	889108	178248
833	890311	177208
834	891384	176141
835	892488	175081
836	893631	174028
837	894650	172951
838	895713	171883
839	896998	170856
840	898160	169806
841	899271	168746
842	900532	167714
843	901499	166627
844	902860	165613
845	903994	164556
846	905222	163517
847	906160	162425
848	907194	161350
849	908232	160276
850	909310	159209
851	910456	158154
852	911469	157076
853	912792	156051
854	913787	154969
855	914876	153904
856	915957	152837
857	916965	151758
858	918323	150737
859	919497	149685
860	920518	148608
861	921498	147525
862	922662	146471
863	923673	145393
864	924660	144311
865	925671	143233
866	926827	142177
867	928022	141127
868	929218	140077
869	930151	138988
870	931375	137941
871	932452	136873
872	933643	135822
873	934715	134753
874	935876	133696
875	936954	132628
876	938044	131561
877	939038	130481
878	940062	129405
879	941097	128331
880	942304	127280
881	943432	126218
882	944441	125141
883	945536	124074
884	946603	123004
885	947647	121932
886	948670	120856
887	950062	119827
888	951203	118766
889	952378	117709
890	953460	116641
891	954436	115559
892	955464	114484
893	956425	113401
894	957602	112344
895	958748	111283
896	959903	110223
897	960937	109148
898	962042	108082
899	963068	107007
900	964116	105935
901	965340	104881
902	966868	103860
903	967945	102790
904	968999	101718
905	970212	100662
906	971391	99602
907	972378	98522
908	973630	97470
909	974899	96418
910	976179	95367
911	977446	94314
912	978573	93248
913	979609	92173
914	980874	91119
915	982149	90066
916	983590	89027
917	984596	87948
918	985595	86869
919	986686	85798
920	987745	84725
921	989096	83676
922	990316	82615
923	991266	81532
924	992492	80472
925	993436	79389
926	994462	78312
927	995557	77241
928	996731	76176
929	997884	75109
930	999238	74057
931	1000393	72990
932	1001501	71919
933	1002675	70852
934	1003785	69781
935	1004832	68706
936	1005902	67632
937	1006974	66559
938	1007991	65481
939	1009004	64404
940	1010173	63337
941	1011370	62271
942	1012516	61201
943	1013755	60138
944	1014913	59069
945	1016253	58010
946	1017542	56947
947	1018716	55878
948	1019948	54812
949	1021064	53740
950	1022070	52661
951	1023166	51588
952	1024135	50508
953	1025451	49445
954	1026454	48366
955	1027522	47291
956	1028565	46215
957	1029987	45156
958	1031325	44092
959	1032665	43027
960	1033670	41949
961	1034810	40876
962	1035915	39801
963	1037157	38732
964	1038223	37655
965	1039554	36588
966	1040527	35509
967	1041612	34433
968	1042820	33361
969	1043923	32286
970	1044858	31205
971	1046180	30136
972	1047401	29064
973	1048544	27989
974	1049670	26914
975	1050797	25839
976	1051773	24760
977	1052738	23681
978	1053800	22604
979	1055069	21532
980	1056179	20456
981	1057341	19380
982	1058516	18305
983	1059732	17231
984	1060781	16154
985	1061968	15078
986	1063128	14002
987	1064317	12926
988	1065475	11850
989	1066734	10775
990	1067797	9697
991	1069037	8621
992	1070049	7543
993	1071234	6466
994	1072310	5388
995	1073543	4311
996	1074682	3233
997	1075582	2155
998	1076623	1077
999	1077654	0
