iter	Logloss	Accuracy
62	0.4907175682	0.7846338604
63	0.4906318759	0.7846452978
64	0.490534236	0.7846567352
65	0.4904672126	0.7846395791
66	0.4904277986	0.7846567352
67	0.4903171508	0.7846395791
68	0.4902493002	0.784622423
69	0.4901470319	0.7846281417
70	0.4900976767	0.78467961
71	0.4900436081	0.7847082035
72	0.4900066735	0.7847196409
73	0.4899206585	0.7847882652
74	0.4898684115	0.7848225774
75	0.4897976454	0.7848912018
76	0.4897431807	0.7849083579
77	0.4895763701	0.7848511709
78	0.4895166504	0.7848854831
79	0.4894677204	0.784925514
80	0.4894130581	0.7849598262
81	0.4893540676	0.7849827009
82	0.4892873521	0.7850341692
83	0.4892200478	0.7850627627
84	0.4891493345	0.7851027936
85	0.4890773697	0.7850970749
86	0.4890086114	0.7850398879
87	0.4889543803	0.7850398879
88	0.4889314588	0.7850684814
89	0.4888721592	0.7850856375
90	0.4887959371	0.7850684814
91	0.488710047	0.7850513253
92	0.4886970766	0.7850742001
93	0.4886709584	0.7851256684
94	0.4885820653	0.7851828553
95	0.4884995814	0.7852000114
96	0.4884287062	0.7852400423
97	0.4883274061	0.7852400423
98	0.4882705148	0.7852571984
99	0.4882132809	0.7852857919
100	0.4881592859	0.7852800732
101	0.4881202349	0.7852915106
102	0.4880531919	0.7853372602
103	0.4880045514	0.7853258228
104	0.4879424844	0.7853772911
105	0.4878663756	0.785434478
106	0.487779318	0.7854058845
107	0.4877163025	0.7854001658
108	0.4876288694	0.7854745089
109	0.4875924402	0.7854516341
110	0.4875351143	0.785491665
111	0.4874808274	0.7855316959
112	0.4874358423	0.7855374146
113	0.4874019493	0.7855316959
114	0.4873150061	0.7855717268
115	0.4872680949	0.7855545707
116	0.4872150289	0.7855431333
117	0.4871626147	0.7854973837
118	0.4870935417	0.7855602894
119	0.4870510689	0.7855088211
120	0.4869858877	0.7855774455
121	0.4869464793	0.7855316959
122	0.4869161788	0.7855545707
123	0.486861383	0.7856403511
124	0.4867590229	0.785623195
125	0.4866843297	0.7856861007
126	0.4866180154	0.7857490064
127	0.4865686409	0.7857833186
128	0.4865135242	0.7858004747
129	0.4864441399	0.7857661625
130	0.486422595	0.7857547251
131	0.4863815078	0.7857604438
132	0.4863081818	0.7858462242
133	0.4862561904	0.7858405055
134	0.4862184361	0.7858748177
135	0.4861534731	0.7858233494
136	0.4861088314	0.7858633803
137	0.4860657434	0.785811912
138	0.4860179109	0.7858233494
139	0.485985975	0.785811912
140	0.485911076	0.7857718812
141	0.4858509342	0.7857718812
142	0.4858065466	0.785794756
143	0.4857569436	0.7858576616
144	0.4857027177	0.7858462242
145	0.4856530901	0.7858576616
146	0.4856288397	0.7858633803
147	0.4856205375	0.785869099
148	0.4855539418	0.7858805364
149	0.4855081946	0.7858633803
150	0.485468589	0.7858976925
151	0.4854404159	0.7858805364
152	0.4854097506	0.7858919738
153	0.4853683829	0.7858919738
154	0.4853039095	0.7859434421
155	0.4852270767	0.7859491608
156	0.4851793721	0.7859091299
157	0.4851256501	0.7858919738
158	0.4850578127	0.7858976925
159	0.4850193832	0.7858805364
160	0.4849798952	0.7859548795
161	0.4849497941	0.7859320047
162	0.4848928955	0.7859491608
163	0.4848574598	0.7859377234
164	0.4848294644	0.7859205673
165	0.4847907	0.7859548795
166	0.4847515473	0.7859891917
167	0.4846930926	0.785983473
168	0.4846540281	0.7859720356
169	0.484625026	0.7860520973
170	0.4845831451	0.7860349412
171	0.4845259997	0.7860063478
172	0.4845025873	0.7860406599
173	0.4844717175	0.7860406599
174	0.4844015056	0.7860749721
175	0.4843608194	0.7860063478
176	0.4843054982	0.786057816
177	0.4842551306	0.7860520973
178	0.4842215137	0.786115003
179	0.4841632829	0.7861378778
180	0.4841361194	0.78617219
181	0.4841106846	0.7861664713
182	0.4840643616	0.7861664713
183	0.4840144182	0.7861893461
184	0.4839829436	0.7861893461
185	0.4839571621	0.78617219
186	0.4839035379	0.7862122209
187	0.4838620124	0.7862122209
188	0.4838293352	0.7862236583
189	0.4837698053	0.7862694078
190	0.4837177001	0.7863151574
191	0.483704475	0.7863151574
192	0.4836658313	0.7862808452
193	0.4836267925	0.7862636891
194	0.4835808076	0.7863094387
195	0.4835550884	0.7863094387
196	0.4835240502	0.7862522517
197	0.4834740567	0.7862408143
198	0.4834399856	0.7862579704
199	0.4833906023	0.7863151574
200	0.4833351327	0.78630372
201	0.4832857604	0.7863094387
202	0.4832518285	0.7863208761
203	0.4831917164	0.7863323135
204	0.483129652	0.7863666257
205	0.4831185662	0.7863380322
206	0.4831083172	0.786360907
207	0.48305345	0.786360907
208	0.4829871707	0.786418094
209	0.4829626687	0.7864238127
210	0.4829327811	0.786418094
211	0.482903368	0.7863895005
212	0.4828677469	0.7864123753
213	0.4828179551	0.7864695622
214	0.4827965724	0.7864867183
215	0.4827775324	0.786492437
216	0.4827373375	0.7865095931
217	0.4826976368	0.786549624
218	0.4826586172	0.786549624
219	0.4826432303	0.7865839362
220	0.4826128927	0.7865667801
221	0.4825786099	0.7865610614
222	0.4825363021	0.7865667801
223	0.4825031967	0.7866182484
224	0.4824519302	0.7866754353
225	0.4823887429	0.7867211849
226	0.4823333627	0.7867497784
227	0.4822858348	0.7867154662
228	0.4822424338	0.7867269036
229	0.4822104508	0.7867269036
230	0.482188449	0.7867211849
231	0.4821518986	0.7867612158
232	0.4821325265	0.7867669345
233	0.4820959989	0.7867612158
234	0.482053317	0.7868012467
235	0.4820199943	0.7868355589
236	0.4819954584	0.7868412776
237	0.4819471532	0.7868298402
238	0.4819062845	0.7868126841
239	0.4818504994	0.7868813084
240	0.4818302886	0.7868584336
241	0.4817903643	0.7868412776
242	0.4817443209	0.7868412776
243	0.481708933	0.7868355589
244	0.4816684823	0.786869871
245	0.4816477291	0.7869156206
246	0.4816220531	0.7869613702
247	0.4815806063	0.7869384954
248	0.481556601	0.7869499328
249	0.481523584	0.7869728076
250	0.4814875942	0.7869156206
251	0.4814615027	0.7869556515
252	0.4814341092	0.7868984645
253	0.481388197	0.7868927458
254	0.4813489233	0.7868927458
255	0.4813108175	0.7869728076
256	0.4812543886	0.7870242759
257	0.4812161825	0.7870871815
258	0.481173939	0.7870986189
259	0.4811313314	0.7871043376
260	0.481094595	0.787115775
261	0.481056491	0.7871386498
262	0.4810252018	0.7871386498
263	0.4810042728	0.7871272124
264	0.4809338888	0.7872244303
265	0.4808662148	0.7872187116
266	0.4808331871	0.7872244303
267	0.4807811973	0.787230149
268	0.4807538491	0.787304492
269	0.4806937348	0.7873559603
270	0.4806531081	0.7873388042
271	0.480618993	0.7873559603
272	0.4805961518	0.787361679
273	0.4805695878	0.7874417408
274	0.4805433351	0.7874074286
275	0.4804929785	0.7873559603
276	0.4804421	0.7873845538
277	0.480402974	0.7874017099
278	0.480360941	0.7874131473
279	0.4803157322	0.7874874903
280	0.4802821307	0.7875446773
281	0.4802610411	0.7875389586
282	0.480206714	0.7875103651
283	0.4801923453	0.7875275212
284	0.4801510123	0.7875218025
285	0.4800959622	0.7875389586
286	0.480047801	0.7875446773
287	0.4800201482	0.7875618334
288	0.479981421	0.7875618334
289	0.4799528487	0.7876018643
290	0.4799206142	0.7876190204
291	0.4798575796	0.7876304578
292	0.4798296403	0.7876304578
293	0.4798173008	0.7876361765
294	0.4797810235	0.7876247391
295	0.4797556985	0.7876533326
296	0.4797311232	0.78766477
297	0.4796699415	0.7877276756
298	0.4795849839	0.787739113
299	0.4795372154	0.7876762074
300	0.4794936107	0.7877105195
301	0.4794536188	0.78766477
302	0.4794142848	0.7876876448
303	0.4793772141	0.7876819261
304	0.479349808	0.7877734252
305	0.4792962124	0.7877276756
306	0.4792505609	0.7877219569
307	0.4792303754	0.787739113
308	0.4791818972	0.7877505504
309	0.4791474122	0.7877105195
310	0.4790989698	0.7878020187
311	0.4790631512	0.7877963
312	0.4790411098	0.7878020187
313	0.4790071906	0.7877734252
314	0.4789867099	0.7878420496
315	0.4789555726	0.7878306122
316	0.4788991047	0.7878592057
317	0.4788561554	0.7879049553
318	0.4788220392	0.7879678609
319	0.4787959719	0.7879735796
320	0.4787609816	0.7879792983
321	0.4787136699	0.7880136105
322	0.4786845821	0.7879964544
323	0.4786516246	0.7880078918
324	0.4786031595	0.7879621422
325	0.4785885074	0.7880250479
326	0.4785287744	0.7880307666
327	0.4784836514	0.7880364853
328	0.4784486854	0.788042204
329	0.4784158094	0.7880536414
330	0.478373049	0.7880479227
331	0.4783447493	0.7880364853
332	0.4783210376	0.787985017
333	0.4782893773	0.7880307666
334	0.4782597379	0.7880707975
335	0.4782344524	0.7880822349
336	0.4782081811	0.7880879536
337	0.4781719968	0.7881108284
338	0.4781363903	0.7881051097
339	0.4781091498	0.7881279844
340	0.4780704543	0.7881279844
341	0.4780445889	0.7882080462
342	0.4779904372	0.788230921
343	0.4779480601	0.7882537958
344	0.4779125916	0.7882709519
345	0.477887135	0.7882938267
346	0.4778624063	0.7882823893
347	0.4778144671	0.7883109828
348	0.4777952325	0.788288108
349	0.4777514319	0.788362451
350	0.4777248828	0.788362451
351	0.4776873223	0.7883452949
352	0.4776414365	0.7883967632
353	0.4775857932	0.788419638
354	0.4775371855	0.7883796071
355	0.477495885	0.7884367941
356	0.4774731295	0.7884367941
357	0.4774345086	0.7884367941
358	0.4774100075	0.7884653876
359	0.4773662811	0.7884482315
360	0.4773440191	0.7884711063
361	0.4773040762	0.7884825437
362	0.4772790151	0.7884996998
363	0.4772519623	0.7885054185
364	0.4772391981	0.7884996998
365	0.4772083656	0.7885111372
366	0.4771913597	0.7885111372
367	0.4771652732	0.7885225746
368	0.4771260301	0.7885740428
369	0.4770932841	0.7885568867
370	0.4770538393	0.7885911989
371	0.4770408242	0.7885969176
372	0.476989183	0.7885740428
373	0.4769282421	0.7886483859
374	0.4768780387	0.7886769794
375	0.4768453985	0.7886941355
376	0.4768264569	0.7886941355
377	0.4767905399	0.7887112916
378	0.4767556612	0.7887284477
379	0.4767113784	0.7886941355
380	0.4766783771	0.7887456038
381	0.4766580561	0.7887570411
382	0.4766272567	0.7887799159
383	0.4765944288	0.7888256655
384	0.4765613315	0.7887684785
385	0.476537257	0.7887513224
386	0.4765047005	0.7888142281
387	0.4764680441	0.7887513224
388	0.4764462216	0.7887341664
389	0.4764002019	0.7887570411
390	0.4763553678	0.7888199468
391	0.4763198984	0.7888371029
392	0.4762979513	0.7888428216
393	0.4762572957	0.7888656964
394	0.4762372408	0.7888714151
395	0.4762115173	0.7888599777
396	0.4761890242	0.7889171647
397	0.4761589306	0.7889457582
398	0.4761045918	0.7889171647
399	0.4760638638	0.7888942899
400	0.4760453265	0.7888828525
401	0.4760214816	0.7888828525
402	0.4759972752	0.7888942899
403	0.4759730475	0.7889057273
404	0.4759323218	0.7889800703
405	0.4758878156	0.7890201012
406	0.475870471	0.7890486947
407	0.4758402638	0.789100163
408	0.47579721	0.7891058817
409	0.4757760493	0.7891230378
410	0.4757433268	0.7891058817
411	0.4757017007	0.7891058817
412	0.47568107	0.7890944443
413	0.4756511476	0.7890887256
414	0.4756239304	0.7890830069
415	0.4755914786	0.7890715695
416	0.4755439645	0.7891058817
417	0.4755084361	0.7891058817
418	0.4754545305	0.789100163
419	0.4754235556	0.7890715695
420	0.4753891046	0.7890944443
421	0.4753536681	0.7891916621
422	0.4753018049	0.7891973808
423	0.4752850477	0.7892030995
424	0.4752330249	0.7892030995
425	0.4751901794	0.7892660052
426	0.4751710717	0.7892545678
427	0.475144663	0.7893289109
428	0.4751227969	0.7893231922
429	0.4750565581	0.7893403483
430	0.475021113	0.7893517857
431	0.4749855107	0.7893746605
432	0.4749430735	0.7893403483
433	0.4749125599	0.7893289109
434	0.4748762769	0.789346067
435	0.4748666877	0.7893632231
436	0.4748374178	0.7893918165
437	0.4748244375	0.7893803791
438	0.4748063489	0.7893860978
439	0.4747736614	0.7894032539
440	0.4747194272	0.7894718783
441	0.4746837206	0.7894718783
442	0.4746407157	0.7895061905
443	0.4745905912	0.7894718783
444	0.4745578052	0.7895119092
445	0.4745310243	0.7895290653
446	0.4744922181	0.7894833157
447	0.4744575303	0.7895119092
448	0.4744264081	0.789534784
449	0.4743892132	0.7895690962
450	0.4743651857	0.7895919709
451	0.4743300211	0.7895862523
452	0.474297263	0.7896205644
453	0.4742521824	0.7896205644
454	0.4742231495	0.7896148457
455	0.4742024889	0.7896034083
456	0.4741701198	0.7896377205
457	0.4741299625	0.7896720327
458	0.4740908144	0.7897349384
459	0.474051926	0.789666314
460	0.474027767	0.789723501
461	0.4740068891	0.7897349384
462	0.4739646283	0.789780688
463	0.4739490038	0.789780688
464	0.4739299544	0.7897692506
465	0.4739004623	0.7898092814
466	0.4738891486	0.789780688
467	0.4738266086	0.7898150001
468	0.4738003519	0.789855031
469	0.4737561423	0.7897921254
470	0.4737298714	0.7898321562
471	0.4737077278	0.7898321562
472	0.4736833283	0.7899293741
473	0.4736293334	0.7899408115
474	0.4735945489	0.7898721871
475	0.4735531302	0.7898950619
476	0.4735429264	0.7899007806
477	0.4734893182	0.7899293741
478	0.473470096	0.7899236554
479	0.4734360288	0.7899179367
480	0.4734043092	0.7898779058
481	0.473380733	0.7899007806
482	0.4733631658	0.7898893432
483	0.4733233893	0.7898893432
484	0.4732937941	0.7898836245
485	0.4732803315	0.7898950619
486	0.4732380282	0.789912218
487	0.4731889993	0.789969405
488	0.4731529841	0.7899522489
489	0.4731372117	0.7899579676
490	0.4731053802	0.7899636863
491	0.4730666959	0.7899408115
492	0.4730120833	0.7899979985
493	0.472987076	0.7899808424
494	0.4729354232	0.7899350928
495	0.4729000914	0.7899408115
496	0.4728833455	0.7900094359
497	0.4728516699	0.7900494667
498	0.4728152688	0.7900666228
499	0.4727815174	0.7901695594
500	0.472752894	0.7901809968
501	0.4727177094	0.7901638407
502	0.4726900074	0.7901638407
503	0.4726551013	0.7901524033
504	0.4726024953	0.7902095903
505	0.4725747076	0.7902381837
506	0.4725375038	0.790232465
507	0.4725262487	0.7902267463
508	0.4725087931	0.7902210276
509	0.4724871644	0.7902439024
510	0.4724703122	0.7902381837
511	0.4724045442	0.7902667772
512	0.4723583387	0.7903239642
513	0.4723302041	0.7903354016
514	0.4722994661	0.7903411203
515	0.472268363	0.790289652
516	0.4722291967	0.7903239642
517	0.4722105994	0.7903182455
518	0.4721939133	0.7903010894
519	0.4721795703	0.7903411203
520	0.4721587917	0.7903411203
521	0.4721327933	0.7903925886
522	0.4721014552	0.7903754325
523	0.4720682004	0.7903868699
524	0.4720346895	0.7903983073
525	0.4719995349	0.7904097447
526	0.4719464395	0.7904269008
527	0.4719030151	0.7904326194
528	0.4718647501	0.7904612129
529	0.4718444403	0.7904840877
530	0.4717961642	0.7904154634
531	0.4717629914	0.790478369
532	0.47171369	0.7905412747
533	0.4716516767	0.7906098991
534	0.4716223875	0.7906041804
535	0.4715860268	0.7905755869
536	0.4715678499	0.7905870243
537	0.4715303992	0.7905641495
538	0.4715153105	0.7905698682
539	0.4714820041	0.790592743
540	0.4714574493	0.7905813056
541	0.4714157592	0.7906442112
542	0.4713826584	0.7906270552
543	0.4713350238	0.7906556486
544	0.4713245117	0.7906785234
545	0.4712838477	0.7907185543
546	0.4712516875	0.7907585852
547	0.4712103768	0.7907357104
548	0.4711963427	0.7907643039
549	0.4711608521	0.7907585852
550	0.4711219755	0.7907128356
551	0.4710881206	0.7907643039
552	0.4710649078	0.7907585852
553	0.4710183179	0.790724273
554	0.4709727149	0.7907414291
555	0.4709103301	0.7907928974
556	0.4708775095	0.7907928974
557	0.4708345517	0.7908043348
558	0.4708032376	0.7907871787
559	0.4707672621	0.7908329283
560	0.4707525501	0.7908443657
561	0.4707244607	0.7909072713
562	0.4706746088	0.7909587396
563	0.4706361005	0.7909644583
564	0.4706120484	0.7909473022
565	0.4705832277	0.7909473022
566	0.470575725	0.7909530209
567	0.4705494097	0.7909358648
568	0.4705233505	0.7909244274
569	0.4705032588	0.7909301461
570	0.4704453436	0.7909758957
571	0.4704242478	0.7909816144
572	0.4704019337	0.7909816144
573	0.4703654525	0.7909930518
574	0.4703436209	0.7909873331
575	0.4703218708	0.7909873331
576	0.4702844041	0.7909930518
577	0.4702583351	0.7910102079
578	0.4702197337	0.7910388014
579	0.4701925178	0.7910388014
580	0.4701510112	0.7911131444
581	0.4701255613	0.7911245818
582	0.4701140742	0.7911417379
583	0.4700833777	0.7911360192
584	0.4700533276	0.7911760501
585	0.4700261829	0.7911760501
586	0.4699750981	0.7912217997
587	0.4699440038	0.7911703314
588	0.4699193683	0.7911989249
589	0.4698800931	0.791216081
590	0.4698376803	0.7912332371
591	0.469796346	0.7912217997
592	0.4697551798	0.7912561119
593	0.4697352093	0.7912675493
594	0.4697031034	0.7912789866
595	0.469691491	0.7913132988
596	0.4696524045	0.7913361736
597	0.4696243794	0.7913590484
598	0.4696002717	0.7913647671
599	0.469574964	0.7914276728
600	0.4695436701	0.7914391102
601	0.4695163588	0.791404798
602	0.4694921622	0.7914333915
603	0.4694621688	0.7914562663
604	0.4694477808	0.7914734224
605	0.4694262839	0.7914791411
606	0.4694063338	0.7914448289
607	0.4693878137	0.7914162354
608	0.4693642781	0.7914962971
609	0.4693351314	0.7914677037
610	0.4693113885	0.7914219541
611	0.4692801558	0.7914391102
612	0.4692562086	0.7914219541
613	0.469211766	0.7914848597
614	0.4691966769	0.7914562663
615	0.4691785171	0.7914962971
616	0.4691400897	0.7915077345
617	0.469121543	0.7915077345
618	0.4690827558	0.7914905784
619	0.4690613078	0.7915420467
620	0.4690485776	0.791536328
621	0.469038874	0.7915706402
622	0.468999918	0.7915706402
623	0.4689729795	0.7916106711
624	0.4689564987	0.7916221085
625	0.4689374566	0.7916278272
626	0.4688995449	0.7916392646
627	0.4688656626	0.7916678581
628	0.4688551706	0.7916621394
629	0.4688287399	0.7916964515
630	0.4688101353	0.7916735768
631	0.4687734142	0.7917193263
632	0.4687460878	0.7917136076
633	0.468704488	0.7917936694
634	0.4686823605	0.7918108255
635	0.4686604504	0.7918279816
636	0.4686427176	0.7918565751
637	0.4686155733	0.7918794499
638	0.4685983286	0.7918737312
639	0.4685648899	0.7918680125
640	0.4685396655	0.7918908873
641	0.4684930267	0.791913762
642	0.4684628372	0.7919194807
643	0.4684365233	0.7919366368
644	0.4683938479	0.7919080433
645	0.4683578777	0.791896606
646	0.4683186327	0.7919423555
647	0.468284739	0.7919652303
648	0.4682567094	0.7919881051
649	0.4682258745	0.7919823864
650	0.4681980556	0.7919537929
651	0.4681565658	0.7919938238
652	0.4681176655	0.7920338547
653	0.4680875912	0.7920510108
654	0.4680625962	0.7920452921
655	0.4680290815	0.7920452921
656	0.4679972705	0.7920738856
657	0.4679574347	0.7921081978
658	0.4679382453	0.7921653847
659	0.4679025157	0.7921253538
660	0.4678768222	0.7921825408
661	0.4678419559	0.7921539473
662	0.467800294	0.7921139164
663	0.4677683433	0.7921253538
664	0.4677328121	0.7921653847
665	0.4676991649	0.7921825408
666	0.4676689967	0.7921653847
667	0.4676481401	0.7921653847
668	0.4675966646	0.7922054156
669	0.4675783536	0.7921996969
670	0.4675397229	0.7922340091
671	0.4675117823	0.792216853
672	0.4674968628	0.7922568839
673	0.4674787677	0.7922282904
674	0.4674440946	0.7922568839
675	0.4673911802	0.7923255082
676	0.4673530589	0.7923083522
677	0.4673359912	0.7923026335
678	0.4672989956	0.7923140709
679	0.4672766197	0.7923255082
680	0.4672412335	0.7923426643
681	0.4672030601	0.7923598204
682	0.4671609253	0.7923769765
683	0.4671285483	0.7923655391
684	0.4670958132	0.79240557
685	0.4670508948	0.7923941326
686	0.4670064427	0.7923712578
687	0.4669773577	0.7923598204
688	0.4669277072	0.7924227261
689	0.4669065126	0.7924341635
690	0.4668905128	0.7924170074
691	0.4668662221	0.7924284448
692	0.466848234	0.7924513196
693	0.466809542	0.7924970692
694	0.4667674828	0.7924856318
695	0.4667490219	0.792519944
696	0.466724251	0.7924856318
697	0.4667094383	0.7924799131
698	0.4666898286	0.7924684757
699	0.4666717835	0.7924913505
700	0.4666338351	0.7925142253
701	0.4665921747	0.7925656935
702	0.4665484363	0.792519944
703	0.4665140862	0.7925828496
704	0.4664838589	0.7926171618
705	0.466445729	0.7926228805
706	0.4664228605	0.7926285992
707	0.4664001202	0.7925885683
708	0.4663904239	0.7925771309
709	0.4663711269	0.7925428187
710	0.4663477109	0.7925885683
711	0.4663076148	0.7926571927
712	0.4662638503	0.7926400366
713	0.466242705	0.7926228805
714	0.4662161464	0.7926457553
715	0.4661711147	0.792651474
716	0.4661439107	0.7926629114
717	0.4661121653	0.7926800675
718	0.4660894075	0.792708661
719	0.4660754809	0.7927200984
720	0.4660439362	0.7927486918
721	0.4660194588	0.7927715666
722	0.4659977724	0.7927772853
723	0.4659834429	0.7927944414
724	0.4659512608	0.7928058788
725	0.4659030468	0.7928173162
726	0.4658557945	0.7928344723
727	0.4658338709	0.7928230349
728	0.4657935531	0.7928630658
729	0.4657676308	0.7928573471
730	0.4657316273	0.7928344723
731	0.4656994266	0.7928630658
732	0.4656475533	0.7928802219
733	0.4656265609	0.7928573471
734	0.4655944169	0.7928459097
735	0.4655655177	0.7928630658
736	0.4655265106	0.792897378
737	0.4655097235	0.7928802219
738	0.465474104	0.792954565
739	0.4654518385	0.7929316902
740	0.4654374307	0.792954565
741	0.4654071394	0.7929374089
742	0.4653876772	0.7929888771
743	0.4653747696	0.7929831584
744	0.465343755	0.7930117519
745	0.4653108579	0.7930346267
746	0.4652932518	0.7930346267
747	0.4652495884	0.7930575015
748	0.46522306	0.793086095
749	0.4651934387	0.7931032511
750	0.4651554594	0.7931547194
751	0.4651406306	0.7931661567
752	0.4651117047	0.7931947502
753	0.4650932031	0.7932004689
754	0.4650685889	0.7932347811
755	0.4650315629	0.7932576559
756	0.4649983717	0.7932976868
757	0.4649775668	0.7933091242
758	0.4649579592	0.7932805307
759	0.464940567	0.7932862494
760	0.4649275165	0.7932805307
761	0.4648976225	0.793331999
762	0.4648628713	0.793331999
763	0.4648449945	0.7933205616
764	0.4648144204	0.7933605925
765	0.4647865785	0.7933377177
766	0.4647528994	0.7933834672
767	0.4647395763	0.7934177794
768	0.4647145194	0.7934120607
769	0.4646880169	0.793406342
770	0.464674816	0.7934234981
771	0.4646555276	0.793463529
772	0.4646385941	0.7934692477
773	0.4646072506	0.7934292168
774	0.46457856	0.7934406542
775	0.464565564	0.7934578103
776	0.4645370086	0.7934520916
777	0.4645076751	0.7934978412
778	0.464467573	0.793520716
779	0.4644535436	0.793520716
780	0.4644165785	0.7935435908
781	0.4643916607	0.7935493095
782	0.4643602335	0.7935721843
783	0.4643458075	0.7935836217
784	0.4643235841	0.7936465273
785	0.4642806539	0.7936179338
786	0.4642556647	0.7936465273
787	0.4642258293	0.7936465273
788	0.464195617	0.7936808395
789	0.4641416113	0.7936751208
790	0.4641211582	0.7936751208
791	0.4640597125	0.793709433
792	0.4640331323	0.7937380265
793	0.4639978462	0.7936922769
794	0.4639543676	0.7936579647
795	0.4639290925	0.7936694021
796	0.4638928835	0.7937037143
797	0.4638639417	0.7937151517
798	0.4638364555	0.7936922769
799	0.4638039727	0.7936865582
800	0.463763325	0.7937208704
801	0.463747127	0.79376662
802	0.4637242445	0.7937894948
803	0.4636815008	0.7937723387
804	0.4636488033	0.7937609013
805	0.463615423	0.7938524004
806	0.4635827991	0.7938524004
807	0.463571609	0.7938466817
808	0.4635386025	0.7938524004
809	0.4634975775	0.793840963
810	0.463427232	0.79389815
811	0.4634015232	0.7938867126
812	0.4633729616	0.7939038687
813	0.4633322386	0.7938581191
814	0.4632967259	0.7938695565
815	0.4632710747	0.7939210248
816	0.463217214	0.7938809939
817	0.4632002597	0.7938867126
818	0.4631651036	0.79389815
819	0.4631380595	0.7939381809
820	0.4630980321	0.7939610557
821	0.4630568183	0.7940010866
822	0.4630357092	0.7939896492
823	0.4630099089	0.7940468361
824	0.4629775301	0.7940068052
825	0.4629500916	0.7940411174
826	0.4629250974	0.79402968
827	0.4628944496	0.7940754296
828	0.4628772143	0.7940983044
829	0.4628380588	0.7940411174
830	0.4628051597	0.7940010866
831	0.4627855677	0.7940411174
832	0.4627342265	0.7941040231
833	0.4627130157	0.7941211792
834	0.4626992165	0.7942069597
835	0.4626764626	0.7942241157
836	0.4626454612	0.7942469905
837	0.4626097973	0.794218397
838	0.4625716805	0.794275584
839	0.4625465188	0.7942698653
840	0.462512381	0.7943670832
841	0.4624969536	0.7943842393
842	0.462471735	0.7943442084
843	0.4624343295	0.7943442084
844	0.4623931122	0.7944013954
845	0.4623598872	0.7943728019
846	0.4623407763	0.7943670832
847	0.4623148091	0.7944013954
848	0.462293348	0.7944071141
849	0.4622668481	0.7944528636
850	0.4622290397	0.7944071141
851	0.4621999809	0.7943785206
852	0.4621696513	0.7943842393
853	0.4621387195	0.7943556458
854	0.4621037118	0.794389958
855	0.4620663593	0.7944071141
856	0.4620291785	0.7945043319
857	0.4619941286	0.7945443628
858	0.4619575724	0.794521488
859	0.4619408217	0.7945386441
860	0.4618997127	0.7945386441
861	0.4618504723	0.7945386441
862	0.4618221352	0.794521488
863	0.4617849033	0.7945615189
864	0.4617629437	0.7945672376
865	0.4617276925	0.7946129872
866	0.4616888404	0.7945958311
867	0.4616516251	0.7945901124
868	0.4616110809	0.7946072685
869	0.4615956835	0.794653018
870	0.4615613105	0.7946472993
871	0.4615306104	0.7946072685
872	0.4615073931	0.7946129872
873	0.4614693768	0.7946415806
874	0.4614594614	0.7946701741
875	0.4614352624	0.7946415806
876	0.4614134218	0.7946930489
877	0.4613808846	0.7946930489
878	0.4613523965	0.794653018
879	0.461316832	0.7946758928
880	0.4612853024	0.7946873302
881	0.4612542885	0.7947273611
882	0.4612238773	0.7948302977
883	0.4611878088	0.7948017042
